; oligo-analysis  -v 1 -sort -i $RSAT/public_html/tmp/www-data/2020/02/17/retrieve-seq_2020-02-17.102400_zNNOQn.fasta.fasta -format fasta -return occ -table -1str -noov -quick_if_possible -seqtype dna -bg upstream-noorf -org Escherichia_coli_GCF_000005845.2_ASM584v2 -pseudo 0.01 -l 2 -o $RSAT/public_html/tmp/www-data/2020/02/17/oligo-analysis_2020-02-17.104844_7ZpmZl_2nt.tab
; Citation: van Helden et al. (1998). J Mol Biol 281(5), 827-42. 
; Program version              	1.169
; Slow counting mode           
; Oligomer length              	2
; Input file                   	$RSAT/public_html/tmp/www-data/2020/02/17/retrieve-seq_2020-02-17.102400_zNNOQn.fasta.fasta
; Input format                 	fasta
; Output file                  	$RSAT/public_html/tmp/www-data/2020/02/17/oligo-analysis_2020-02-17.104844_7ZpmZl_2nt.tab
; Discard overlapping matches
; Counted on a single strand
; Number of output patterns	16
# seq	aa	ac	ag	at	ca	cc	cg	ct	ga	gc	gg	gt	ta	tc	tg	tt
xseB	9	13	11	15	18	10	12	10	9	20	10	9	12	7	14	14
thiI	14	9	10	15	14	10	12	11	7	20	10	13	12	9	18	9
panE	11	10	11	12	14	9	7	7	10	10	7	8	10	7	10	12
yajQ	12	8	7	12	10	7	7	11	7	10	9	10	10	10	14	11
yajR	12	9	6	10	8	7	7	11	4	7	4	6	14	9	4	12
cyoE	0	0	1	0	0	0	2	0	1	2	2	1	0	0	0	1
cyoB	3	0	4	1	0	0	0	0	3	0	3	1	1	0	1	1
cyoA	32	24	16	46	32	20	14	25	11	21	9	25	44	26	27	50
ampG	1	1	2	0	1	5	3	4	1	6	3	2	1	2	4	1
yajG	17	18	14	23	20	18	15	17	17	15	8	14	18	20	16	26
bolA	26	14	17	23	16	8	15	14	20	15	18	18	18	17	20	17
tig	27	15	14	24	15	14	24	15	23	27	12	18	14	12	31	29
clpP	18	14	13	17	19	10	14	7	11	16	13	15	15	10	15	19
clpX	8	7	9	4	9	5	10	6	7	16	7	7	4	3	11	5
lon	13	10	9	17	10	9	6	11	11	5	9	9	15	12	10	14
hupB	16	5	14	14	6	6	10	15	13	19	15	8	15	7	16	14
ppiD	4	11	8	10	12	7	12	10	9	13	8	19	8	11	20	16
ybaV	15	8	8	5	11	8	7	9	6	11	4	9	4	8	11	13
fadM	7	7	6	7	7	3	2	5	4	5	3	6	9	2	7	9
queC	3	2	4	6	4	2	4	3	1	5	4	4	6	4	2	7
ybaE	6	5	4	12	3	3	3	5	6	0	4	9	12	6	8	8
cof	8	9	5	12	8	4	3	4	6	0	3	5	12	6	3	6
ybaO	15	4	6	10	7	7	7	5	8	7	5	10	5	7	12	16
mdlA	2	3	3	3	5	1	1	0	2	1	2	1	1	3	0	0
glnK	9	11	5	12	14	6	9	16	5	11	5	10	8	17	12	18
amtB	4	4	2	0	5	0	1	2	2	2	2	0	0	2	1	0
tesB	13	15	12	14	21	9	9	14	6	16	8	12	14	13	13	16
ybaY	16	12	14	14	13	8	9	12	13	16	9	15	14	6	21	13
ybaZ	4	4	5	5	7	5	7	3	4	11	2	2	2	2	6	4
ffs	4	2	3	5	6	2	7	5	2	11	5	4	2	4	7	4
ybaA	9	8	3	5	8	5	7	9	3	7	4	7	4	9	8	5
ylaB	7	11	8	14	15	12	3	14	5	8	4	7	13	13	9	9
ylaC	8	7	5	6	6	5	5	7	4	4	5	9	8	7	8	10
maa	9	11	7	14	10	5	8	12	9	7	5	9	14	12	10	17
hha	3	2	3	3	2	1	0	0	1	0	1	2	4	0	0	2
tomB	46	20	33	47	25	21	19	25	24	19	15	32	50	30	23	42
acrB	2	2	3	0	1	1	1	1	2	1	1	1	2	0	0	2
acrA	8	13	5	17	11	3	7	2	10	4	4	8	13	3	10	12
acrR	12	8	2	17	10	4	7	5	3	4	3	13	13	10	11	8
mscK	2	5	4	8	8	4	6	11	7	3	6	9	2	17	9	17
ybaM	2	0	2	2	1	0	0	0	3	0	1	0	0	0	1	0
priC	2	3	6	7	6	0	0	4	3	3	2	5	6	5	5	9
ybaN	9	5	4	7	5	2	0	6	5	3	0	3	6	3	6	2
apt	10	15	11	6	18	4	11	4	3	14	6	11	10	4	6	12
dnaX	2	7	8	5	12	11	8	9	5	13	3	8	4	9	10	9
ybaB	3	4	5	2	3	2	4	3	5	2	0	4	3	4	2	4
htpG	5	6	5	8	7	8	2	11	6	5	3	3	6	10	6	9
adk	8	5	4	15	14	10	11	9	5	11	8	9	6	18	10	20
hemH	14	12	15	13	19	12	13	17	12	15	13	6	10	22	5	19
aes	8	8	10	9	11	2	11	3	10	11	10	11	6	6	10	13
gsk	13	11	3	9	10	10	11	10	6	11	2	8	6	10	11	8
ybaL	20	10	8	20	20	14	7	12	8	13	8	8	11	16	14	25
fsr	14	14	12	19	14	7	10	15	17	6	4	13	13	19	14	13
ushA	13	13	15	19	14	4	10	12	19	6	7	14	13	17	14	14
ybaK	7	6	5	8	8	6	5	10	5	8	5	4	5	10	7	13
chiX	13	4	10	8	7	5	5	5	10	8	6	6	5	5	8	7
ybaP	10	10	6	11	14	6	6	8	6	9	3	6	7	9	8	8
ybaQ	8	6	8	11	8	3	6	6	9	9	6	10	7	6	14	10
copA	18	15	13	16	12	16	8	20	14	10	10	10	18	14	13	28
glsA	28	10	20	16	13	10	8	13	14	10	16	15	18	14	12	18
ybaT	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
cueR	8	7	4	7	7	2	9	9	5	10	6	9	6	7	12	8
qmcA	11	6	9	10	9	3	4	9	6	5	8	7	10	10	6	15
fetA	15	7	9	10	6	8	4	9	10	5	3	6	10	6	9	11
ybbN	6	3	6	3	4	3	5	2	6	6	0	2	2	3	2	2
rhsD	41	14	15	59	16	5	4	19	27	9	11	27	45	16	44	42
ybbC	1	0	4	3	1	1	0	2	2	2	3	2	5	1	2	6
rhsH	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
ylbI	35	16	24	38	18	11	11	17	29	8	7	24	31	22	26	26
ylbG	6	7	8	8	4	4	5	6	12	2	5	9	7	7	10	9
mnmH	6	2	4	3	3	1	6	4	2	8	2	4	3	3	4	7
allS	29	16	13	19	19	10	6	9	13	5	9	9	16	12	9	16
allA	16	9	9	19	9	9	6	13	12	5	10	16	16	13	19	29
allR	5	5	4	5	4	2	4	5	3	4	3	7	7	3	6	7
gcl	9	1	5	6	3	2	4	3	6	4	5	5	4	5	6	7
hyi	1	0	1	2	0	0	0	0	2	0	1	0	2	0	0	0
glxR	11	3	8	6	4	1	5	4	6	6	6	6	6	4	5	10
ybbW	20	4	11	21	9	5	6	3	10	8	3	5	17	6	6	15
allB	6	3	3	6	3	2	1	1	4	0	1	4	5	2	4	8
ybbY	2	0	1	2	2	5	4	4	0	6	5	5	1	4	6	4
glxK	2	0	1	2	0	0	0	0	3	0	1	1	1	0	3	3
allE	1	0	1	1	1	0	0	0	1	0	1	1	1	1	0	0
allC	0	2	2	1	1	0	0	2	3	0	1	0	1	1	1	4
allD	31	18	16	34	25	8	9	10	15	11	10	17	27	15	19	29
fdrA	29	17	10	34	19	10	9	16	15	11	8	18	27	15	25	31
ylbE	0	0	0	0	0	1	0	0	0	0	2	1	0	1	0	1
ylbF	1	1	0	0	1	0	2	0	1	2	1	0	0	0	0	0
purE	6	8	7	2	8	8	6	11	5	10	1	6	3	8	8	10
lpxH	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
ppiB	12	11	6	20	12	8	12	3	13	9	5	10	13	6	14	8
cysS	8	10	3	20	14	5	12	6	6	9	8	11	13	13	12	12
ybcI	2	5	4	7	8	10	7	8	5	8	3	3	3	11	5	9
folD	38	25	24	48	27	22	23	34	29	20	9	13	40	39	16	32
sfmA	32	13	34	48	16	9	23	24	39	20	22	25	40	29	27	38
sfmC	21	10	7	24	14	6	8	7	8	7	7	17	19	12	17	18
sfmD	3	1	2	5	3	1	1	2	3	1	0	0	2	3	1	1
sfmH	4	0	3	7	2	0	0	1	3	1	1	0	5	2	1	3
sfmF	0	1	1	0	0	0	1	0	2	0	2	1	1	0	0	0
sfmZ	20	16	6	18	12	9	18	15	15	15	7	15	13	14	20	14
argU	14	15	15	18	20	7	18	6	14	15	9	16	13	15	12	20
xisD	1	1	0	3	2	1	2	1	1	1	0	0	2	2	0	0
insE1	9	12	13	7	14	4	9	9	9	12	10	9	9	8	8	6
emrE	6	4	7	3	5	1	0	4	6	1	2	6	3	4	6	4
ybcK	24	9	9	31	9	5	5	12	8	8	5	15	31	10	17	30
ybcL	42	20	24	52	22	3	11	17	26	16	19	34	47	14	41	39
ybcM	0	0	2	0	0	0	0	0	2	0	1	2	0	0	1	0
ylcH	10	8	5	8	6	3	7	6	9	5	7	5	5	6	7	10
quuD	6	3	5	6	3	0	1	5	5	2	3	9	5	4	11	11
nmpC	57	33	30	53	36	14	16	19	30	16	9	16	49	22	17	36
insH1	39	29	22	39	26	16	21	38	31	23	21	29	33	33	40	31
essD	30	19	21	45	17	11	18	32	20	15	17	38	47	33	34	57
rzoD	14	11	14	19	18	7	18	11	15	23	4	10	11	13	16	6
borD	21	21	8	29	24	11	16	10	11	11	11	17	22	19	15	21
ybcV	22	20	12	25	25	11	12	16	13	15	8	12	20	18	16	21
ybcW	21	12	16	25	16	8	12	12	18	15	11	20	20	13	25	22
ylcI	40	35	17	30	35	16	25	14	23	16	14	13	24	24	10	19
nohD	19	13	14	30	10	14	25	17	24	16	16	35	24	23	35	40
ybcY	11	6	4	18	12	7	4	9	4	11	5	4	13	8	10	12
tfaX	12	4	9	18	10	5	4	4	8	11	7	6	13	4	12	11
appY	53	14	20	62	19	3	5	14	22	13	9	38	55	11	49	61
ompT	49	31	21	42	37	15	10	22	18	19	6	14	39	19	20	28
pauD	28	14	22	42	20	6	10	21	19	19	15	31	39	18	37	49
envY	12	5	15	14	9	7	11	14	16	11	8	7	9	18	8	8
nfrB	19	11	6	12	12	8	5	6	0	7	3	10	17	5	6	9
cusR	11	6	6	15	10	8	7	10	10	12	7	3	6	9	12	11
cusC	11	3	10	15	12	7	7	6	9	12	8	6	6	10	10	11
cusF	8	9	9	10	11	6	7	16	7	10	3	9	11	14	10	12
cusB	1	0	2	1	1	1	0	0	1	0	1	1	1	0	1	1
cusA	2	1	0	1	1	1	0	0	1	0	1	0	1	0	0	0
pheP	10	8	6	4	7	5	4	3	6	5	7	7	4	2	8	4
ybdG	2	2	5	8	6	6	4	12	4	8	4	5	5	12	8	8
nfsB	5	5	3	7	6	2	5	9	3	7	3	3	5	8	5	9
ybdF	2	4	1	4	1	3	8	6	2	5	2	3	5	6	1	7
ybdJ	7	5	2	6	4	3	1	3	4	2	2	3	5	1	5	7
ybdK	29	26	21	19	36	25	12	27	16	18	4	12	14	31	13	22
sokE	22	12	27	19	13	4	12	21	31	18	25	26	14	16	36	29
hokE	3	1	2	5	2	1	1	2	2	2	4	2	3	3	3	3
insL1	5	3	3	6	1	4	6	3	3	5	4	7	8	1	7	5
entD	9	5	9	16	13	7	14	6	8	16	7	13	9	12	14	10
fepA	18	12	8	26	18	7	15	5	13	19	9	13	15	7	22	18
fes	18	13	5	26	22	9	15	8	7	19	7	12	15	13	18	18
ybdZ	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
fepE	15	8	11	27	10	7	3	7	13	4	9	10	22	9	13	25
fepD	10	5	3	18	9	4	3	5	4	5	2	2	13	7	5	9
entS	9	2	5	18	5	2	3	3	7	5	4	5	13	4	9	10
fepB	27	15	14	30	21	18	16	26	17	24	20	19	20	24	30	25
entC	25	19	26	30	30	20	16	14	24	24	18	15	20	17	21	27
entE	0	0	2	0	0	0	1	0	2	1	2	0	0	0	0	0
entB	1	2	3	0	1	0	1	0	3	0	1	0	0	0	0	0
entH	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
cstA	16	16	9	16	12	2	7	6	14	3	7	13	14	6	14	15
ybdD	5	7	15	7	11	11	12	9	11	15	18	11	6	10	11	9
ybdH	12	11	6	8	8	1	4	4	7	4	3	7	10	2	8	7
ybdL	7	7	4	8	8	3	4	6	2	4	1	11	10	7	8	12
ybdN	10	15	9	12	12	1	4	14	7	5	0	5	17	10	5	10
ybdO	29	7	10	24	10	6	3	12	10	9	6	9	20	9	15	11
dsbG	27	28	15	24	23	21	13	28	20	18	12	18	25	17	28	27
ahpC	27	18	28	24	28	12	13	15	17	18	21	28	25	20	23	27
ahpF	7	11	12	14	16	17	19	17	11	25	12	9	9	17	14	17
uspG	20	11	22	18	20	5	5	4	18	5	12	13	13	13	8	13
ybdR	13	13	4	18	8	12	5	22	13	5	5	11	13	18	20	20
rnk	15	15	12	19	19	7	12	11	16	12	6	12	12	15	16	14
rna	5	6	6	11	9	7	6	3	4	7	3	7	10	5	6	8
citT	5	2	2	6	1	1	2	1	4	1	2	1	5	1	2	7
citX	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0
citF	2	0	0	1	2	0	0	0	0	1	1	0	0	1	0	0
citD	3	1	1	0	1	0	0	0	2	0	1	1	0	0	1	0
citC	44	20	12	45	24	12	12	16	19	9	7	14	34	23	18	32
citA	32	14	16	45	18	7	12	12	23	9	12	20	34	19	24	44
dcuC	45	19	20	63	38	13	15	20	21	27	9	14	42	27	27	56
pagP	45	15	21	63	26	3	14	21	26	26	13	26	48	20	42	52
cspE	19	15	9	12	13	2	4	8	5	4	4	13	18	6	9	15
flc	5	7	4	8	10	4	6	4	4	5	2	4	6	8	3	7
ybeM	7	4	4	8	3	2	6	4	8	5	4	7	6	4	10	5
tatE	5	4	4	9	3	3	10	8	5	9	5	12	9	8	12	16
lipA	21	16	8	18	20	6	12	9	9	13	4	8	12	12	10	18
ybeF	18	11	8	31	17	12	7	13	9	12	5	12	24	15	18	28
lipB	1	6	1	4	3	10	7	14	3	4	4	5	5	13	4	8
ybeD	9	7	5	7	4	6	6	7	4	6	3	6	10	5	5	8
dacA	7	6	10	10	11	4	7	5	6	8	5	13	9	9	10	8
rlpA	0	0	1	0	1	0	1	0	1	2	1	1	0	0	1	0
mrdB	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
mrdA	3	1	5	0	1	0	2	1	3	3	2	1	2	0	1	1
rlmH	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0
rsfS	11	17	12	17	17	13	17	12	19	16	13	8	10	13	14	21
cobC	0	2	1	1	1	1	2	1	1	1	2	2	2	1	2	1
lptE	1	0	2	0	0	0	2	0	2	3	2	0	0	0	0	0
leuS	16	16	5	17	11	9	16	17	11	15	8	13	16	13	18	14
ybeL	14	13	17	17	18	8	16	5	13	15	9	16	16	11	11	16
ybeQ	17	8	4	26	9	3	7	6	7	9	4	2	22	5	7	13
ybeR	13	2	6	26	7	4	7	4	5	9	3	8	22	7	9	17
ybeT	12	7	4	10	5	1	2	6	6	3	0	3	10	4	6	12
ybeU	12	3	6	10	6	0	2	4	4	3	1	7	10	6	5	12
hscC	4	5	2	8	7	2	3	6	3	2	2	5	6	8	5	8
rihA	6	9	4	6	13	6	10	8	2	12	3	5	5	10	5	6
gltJ	9	12	10	8	9	9	11	12	10	10	9	8	11	10	7	11
gltI	27	21	16	17	21	7	12	12	20	13	12	6	12	11	11	11
insH1	27	21	17	30	32	14	13	17	12	22	13	12	24	20	16	18
lnt	3	4	1	2	0	1	1	2	3	0	1	0	3	0	1	0
ybeX	4	9	3	5	5	6	8	2	8	6	4	4	4	1	7	7
ybeZ	6	2	6	10	6	11	8	12	5	12	10	8	7	12	11	16
miaB	9	9	9	11	14	5	5	11	3	13	6	5	12	8	7	8
ubiF	8	5	11	11	7	6	5	9	8	13	5	9	12	3	14	9
glnX	2	3	3	2	3	2	1	2	1	2	0	3	3	1	2	4
glnV	7	1	0	7	3	1	2	1	2	1	1	3	2	4	4	4
metU	3	1	1	1	1	0	1	1	2	0	0	0	0	2	0	0
glnW	1	1	2	1	1	2	4	2	1	2	2	3	2	4	0	4
glnU	1	2	2	0	2	1	2	0	2	1	1	2	1	1	1	2
leuW	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	3
metT	34	21	19	30	27	17	18	16	22	22	13	20	21	18	26	23
asnB	31	29	13	33	40	19	23	18	12	32	13	11	22	20	19	30
umpH	1	0	2	4	1	1	1	3	0	3	2	6	5	3	6	6
nagC	1	0	2	0	0	0	0	0	2	0	0	1	0	0	0	0
nagA	3	0	2	4	3	3	1	5	1	4	4	2	3	5	4	6
nagB	21	15	12	29	17	13	15	21	14	16	7	20	26	21	23	35
nagE	35	20	21	29	23	7	15	12	21	16	13	15	26	14	17	21
glnS	12	9	8	18	13	10	12	13	10	13	3	9	12	16	13	18
chiP	43	21	19	41	32	16	29	31	16	38	11	20	32	34	26	52
chiQ	1	2	2	1	2	3	5	2	3	7	3	3	0	0	6	4
uof	15	9	6	18	11	8	8	10	4	13	7	20	19	7	23	18
fldA	5	5	7	10	12	9	3	10	4	9	2	9	5	12	12	13
ybfE	5	4	5	9	7	9	16	7	7	16	6	8	4	10	10	6
ybfF	19	10	12	12	13	9	8	10	9	14	7	9	12	7	12	7
seqA	7	9	10	12	12	7	8	12	7	14	9	10	12	9	13	19
pgm	3	3	3	0	4	0	1	0	2	2	1	1	0	0	1	1
ybfP	19	15	11	16	17	7	14	8	12	16	10	7	13	8	10	12
ybfG	15	6	8	15	12	3	2	2	4	4	4	6	12	6	5	8
ybfI	8	1	3	6	2	2	4	2	3	5	2	5	5	3	6	7
speF	11	5	6	11	4	4	5	9	11	5	4	1	8	8	6	10
ybfK	10	1	9	11	6	4	5	6	8	5	4	5	8	11	4	11
kdpC	0	1	0	0	0	1	0	0	0	0	1	1	1	0	0	1
kdpB	1	1	2	3	1	0	0	1	4	1	0	1	1	0	4	1
kdpF	17	20	9	27	17	17	8	20	11	12	9	13	27	13	19	38
ybfA	38	13	20	27	19	9	8	9	13	12	17	20	27	11	17	17
rhsC	18	11	15	28	15	6	8	11	17	9	8	9	22	14	13	20
rhsO	2	0	1	6	0	0	0	2	0	1	0	2	6	1	2	6
ybfQ	23	13	9	25	13	3	4	14	11	5	4	10	23	13	13	23
ybfL	12	9	5	16	7	3	3	9	6	4	2	5	18	6	6	15
ybfD	10	6	4	15	5	3	1	10	6	4	1	3	15	6	8	19
ybgA	8	12	10	6	12	5	5	14	5	8	7	8	11	11	6	8
dtpD	20	18	13	27	23	10	18	11	11	18	2	13	24	15	11	22
ybgI	22	13	11	27	11	2	18	13	15	18	10	18	24	11	23	20
ybgJ	3	0	2	3	1	0	2	0	4	0	1	0	1	2	0	0
nei	6	1	2	5	1	3	1	0	4	0	1	0	3	1	1	1
abrB	8	3	8	12	6	10	4	11	11	10	5	2	6	8	12	16
ybgP	3	0	3	0	0	0	0	0	3	0	1	0	1	0	0	1
ybgQ	2	2	1	9	5	3	3	1	1	4	4	2	6	4	2	5
ybgD	43	22	13	51	24	14	7	20	11	12	6	12	51	17	15	31
gltA	43	27	34	42	39	19	18	18	23	21	21	31	42	27	23	41
sdhC	40	33	25	38	29	23	21	25	29	19	16	37	37	24	39	35
sdhB	1	1	2	0	1	0	1	0	3	1	2	0	0	0	1	0
sucA	23	20	25	14	24	16	24	13	16	29	13	16	18	12	13	8
sucB	1	2	1	2	2	0	0	0	1	0	1	0	2	0	0	0
sucC	17	21	15	19	14	14	24	13	23	19	15	13	18	12	16	11
mngR	8	3	2	19	4	0	2	2	7	1	3	6	14	4	10	13
mngA	13	6	2	19	10	3	2	2	4	1	0	3	14	7	4	8
mngB	3	3	1	0	1	0	2	0	2	0	1	0	0	0	0	0
cydA	42	23	17	50	31	10	16	24	23	19	17	29	35	29	39	47
cydB	1	1	2	0	2	0	1	0	2	0	1	2	0	2	0	0
cydX	3	0	2	0	0	0	0	1	1	1	1	1	2	0	0	0
ybgC	12	5	6	11	8	8	8	11	2	12	3	5	12	10	5	13
tolR	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0
tolA	4	4	6	1	3	2	4	3	7	4	3	3	1	2	4	5
tolB	4	6	6	10	8	4	8	4	6	5	10	13	8	9	11	12
pal	7	0	2	6	1	0	0	0	3	0	1	1	5	1	2	3
ybgF	1	0	1	1	0	0	0	0	2	1	0	0	0	0	1	1
lysT	14	9	9	14	14	5	12	4	10	10	2	12	8	11	11	7
valT	10	9	14	7	8	5	11	3	10	8	6	13	11	6	6	3
lysW	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
valZ	8	9	14	7	10	5	13	2	10	10	7	16	10	7	8	6
lysY	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0
lysZ	12	9	11	8	11	8	11	4	9	10	5	9	8	7	5	7
lysQ	11	8	12	8	8	6	10	3	12	8	7	8	7	5	7	5
nadA	34	25	27	27	26	16	32	24	25	37	14	19	27	20	23	26
pnuC	5	2	2	2	0	0	4	1	2	2	3	2	4	0	1	2
zitB	12	2	10	10	5	3	2	7	8	4	3	6	9	8	6	7
ybgS	26	19	12	28	19	15	10	25	17	12	8	16	23	23	22	24
aroG	24	16	25	28	22	8	10	12	23	12	15	19	23	17	19	26
gpmA	13	12	8	23	18	5	9	10	8	13	4	9	17	12	13	17
galK	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
galT	1	2	0	0	0	1	1	0	2	0	1	0	0	0	0	0
galE	17	13	8	23	18	12	16	16	8	19	10	11	18	18	13	22
modF	5	4	2	6	5	1	3	2	3	3	1	7	5	3	7	3
modE	7	8	9	6	11	6	6	8	6	8	4	9	6	9	7	11
acrZ	11	9	8	6	7	4	6	9	9	8	6	8	6	6	11	7
modA	9	8	6	11	8	9	7	14	4	8	5	8	14	13	7	21
modC	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
ybhA	15	8	6	12	6	5	9	10	9	11	5	8	11	7	12	12
pgl	12	8	10	12	12	5	9	6	7	11	5	8	11	9	6	15
ybhD	21	8	7	20	13	6	6	8	4	10	5	5	18	9	6	19
ybhH	19	5	8	20	6	5	6	7	9	10	6	8	18	4	13	21
ybhI	9	4	7	7	6	0	1	2	7	0	4	4	5	5	3	5
ybhJ	4	8	7	16	13	6	10	18	5	14	4	10	12	19	13	16
ybhC	11	7	8	10	12	6	5	11	3	9	6	6	10	12	5	14
ybhB	4	3	6	0	3	1	3	4	5	3	4	4	1	4	3	3
bioA	7	4	2	4	3	2	3	5	2	1	4	9	5	6	6	13
bioB	13	9	5	4	6	4	3	2	6	1	2	4	5	2	3	7
uvrB	35	27	29	41	30	16	24	24	31	30	26	24	35	22	32	37
ybhK	17	17	28	35	26	15	19	20	21	25	18	26	33	23	24	23
moaA	23	26	20	35	24	18	19	28	23	25	15	17	33	21	26	17
moaB	3	1	4	1	2	0	1	0	3	0	1	1	0	2	0	0
moaC	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
ybhL	3	6	8	12	11	7	10	7	5	11	4	7	10	12	5	12
ybhM	17	10	7	21	9	6	7	9	9	6	8	11	21	9	12	21
ybhP	11	12	9	7	6	6	6	12	13	4	4	3	9	8	4	9
ybhQ	9	3	12	7	4	4	6	9	8	4	6	12	9	13	6	11
ybhR	1	0	3	0	0	0	0	0	3	1	1	0	0	0	0	0
ybiH	18	15	13	17	13	11	10	12	17	10	9	13	14	10	18	12
rhlE	12	13	12	17	18	9	10	13	10	10	11	15	14	17	13	18
ybiA	11	6	4	9	8	4	4	5	4	6	8	7	8	5	8	9
dinG	9	7	5	9	8	8	4	4	5	6	4	6	8	4	8	11
ybiB	2	0	4	1	1	0	1	0	3	0	2	5	2	2	3	0
ybiC	9	11	5	12	15	11	6	6	5	9	4	3	8	8	6	10
ybiJ	23	18	11	26	20	4	15	13	13	11	6	16	22	18	14	17
ybiI	3	5	4	5	2	2	3	6	6	3	4	5	6	3	7	5
ybiX	1	1	3	2	3	2	1	1	3	3	4	2	0	1	4	4
fiu	26	12	11	26	24	7	11	13	11	14	6	13	15	21	16	15
mcbA	17	11	10	33	25	7	12	12	6	19	9	13	22	19	16	22
rlmF	22	13	12	33	16	9	12	10	19	19	7	11	22	6	25	17
ybiO	14	15	13	19	20	16	11	23	11	19	11	5	16	21	11	18
glnP	9	13	6	8	10	9	6	8	7	7	11	4	10	4	6	7
glnH	23	18	21	37	36	15	16	17	18	25	14	23	21	26	29	31
dps	21	16	14	38	20	8	9	18	15	13	7	10	32	18	15	28
rhtA	29	20	15	36	30	16	10	18	14	10	8	16	26	28	16	27
ompX	27	16	18	36	16	8	10	15	28	10	16	20	26	14	30	29
opgE	8	15	9	13	17	13	23	21	10	26	14	15	10	19	19	21
mntS	12	7	12	20	14	4	8	9	7	12	6	13	18	12	12	11
mntR	11	13	9	20	12	6	8	12	12	12	4	7	18	7	14	12
ldtB	22	12	11	19	16	10	7	19	12	15	6	6	13	16	15	8
ybiT	8	6	19	19	15	6	7	11	16	15	10	12	13	12	16	22
ybiU	9	8	5	15	11	6	5	10	6	5	5	8	11	12	9	15
ybiV	4	8	3	13	14	6	11	9	3	9	6	7	7	17	5	13
ybiW	1	1	0	0	1	1	0	0	0	0	0	0	0	0	0	0
ybiY	14	11	6	10	9	2	4	11	10	3	2	5	7	10	8	8
fsaA	8	5	11	10	8	2	4	6	10	3	2	11	7	10	9	14
moeA	10	6	13	21	13	6	8	7	11	12	11	11	15	11	13	18
iaaA	18	11	7	21	13	11	8	13	11	12	6	6	15	11	13	10
gsiB	2	0	2	2	2	0	1	0	2	1	2	0	1	1	0	1
gsiC	1	1	2	0	2	0	1	0	2	2	2	1	0	0	1	0
gsiD	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
yliE	15	7	12	13	11	3	5	6	7	11	6	12	14	5	13	20
yliF	0	1	0	0	0	0	1	0	0	0	0	1	1	0	0	1
rimO	16	8	9	19	11	15	7	18	12	12	2	5	12	16	13	21
bssR	21	5	18	19	13	2	7	9	16	12	15	8	12	12	11	16
yliI	9	4	8	5	4	6	4	8	6	4	4	7	6	8	5	8
gstB	20	11	12	15	13	12	10	14	7	14	8	20	17	12	19	20
dacC	20	20	14	15	19	8	10	12	12	14	12	11	17	7	13	20
deoR	4	1	5	4	2	0	2	6	3	4	2	3	5	5	3	4
ybjG	22	19	16	18	16	12	17	18	12	21	5	11	25	11	10	27
mdfA	27	11	18	18	10	5	17	16	11	21	12	19	25	12	16	22
ybjH	9	5	3	7	8	4	7	3	4	11	5	0	3	2	5	4
ybjJ	4	5	0	6	5	3	1	11	2	2	0	7	4	10	9	9
rcdA	9	7	11	6	9	0	1	0	10	2	3	5	4	2	5	4
rybB	8	4	5	4	6	4	2	4	4	6	1	3	2	3	6	8
ybjL	20	15	13	24	16	12	13	18	9	16	4	16	27	17	15	20
ybjM	20	16	18	24	15	4	13	13	17	16	12	15	27	9	16	20
grxA	11	9	13	12	12	3	3	11	7	9	3	8	15	8	8	15
ybjC	15	8	11	12	8	3	3	13	8	9	3	9	15	7	12	11
rimK	1	5	5	3	4	3	5	2	6	4	4	4	2	2	5	2
ybjN	5	3	3	6	5	2	5	5	3	7	3	6	4	5	8	9
potF	21	14	19	25	17	8	17	26	16	25	7	18	25	21	23	36
potG	2	6	6	6	12	8	9	1	4	13	6	3	2	4	5	4
potH	1	0	2	0	1	0	0	0	1	1	1	0	0	0	0	0
ybjO	4	4	1	5	5	3	4	3	1	7	2	2	3	2	5	4
rlmC	3	0	1	5	1	2	2	1	3	1	1	6	2	3	7	0
artJ	12	15	12	29	23	13	18	9	14	20	15	15	19	16	19	22
artQ	0	0	0	0	0	1	0	1	0	0	0	0	0	1	1	1
artI	2	2	0	2	2	0	1	0	2	0	1	0	1	1	0	1
artP	13	10	8	21	12	13	12	12	10	14	3	11	18	11	15	18
ybjP	7	3	8	17	6	2	7	9	11	7	2	2	11	12	4	11
ybjQ	11	2	9	17	4	2	7	8	12	7	2	3	11	11	6	7
