; oligo-analysis  -v 1 -sort -i $RSAT/public_html/tmp/www-data/2020/02/17/retrieve-seq_2020-02-17.102400_zNNOQn.fasta.fasta -format fasta -return occ -table -1str -quick_if_possible -seqtype dna -bg upstream-noorf -org Escherichia_coli_GCF_000005845.2_ASM584v2 -pseudo 0.01 -l 2 -o $RSAT/public_html/tmp/www-data/2020/02/17/oligo-analysis_2020-02-17.120653_hiGSOB_2nt.tab
; Citation: van Helden et al. (1998). J Mol Biol 281(5), 827-42. 
; Program version              	1.169
; Slow counting mode           
; Oligomer length              	2
; Input file                   	$RSAT/public_html/tmp/www-data/2020/02/17/retrieve-seq_2020-02-17.102400_zNNOQn.fasta.fasta
; Input format                 	fasta
; Output file                  	$RSAT/public_html/tmp/www-data/2020/02/17/oligo-analysis_2020-02-17.120653_hiGSOB_2nt.tab
; Count overlapping matches
; Counted on a single strand
; Number of output patterns	16
# seq	aa	ac	ag	at	ca	cc	cg	ct	ga	gc	gg	gt	ta	tc	tg	tt
xseB	13	13	11	15	18	12	12	10	9	20	12	9	12	7	14	17
thiI	17	9	10	15	14	12	12	11	7	20	12	13	12	9	18	13
panE	13	10	11	12	14	13	7	7	10	10	9	8	10	7	10	15
yajQ	15	8	7	12	10	9	7	11	7	10	13	10	10	10	14	13
yajR	20	9	6	10	8	9	7	11	4	7	4	6	14	9	4	19
cyoE	0	0	1	0	0	0	2	0	1	2	2	1	0	0	0	1
cyoB	4	0	4	1	0	0	0	0	3	0	4	1	1	0	1	1
cyoA	42	24	16	46	32	28	14	25	11	21	9	25	44	26	27	68
ampG	1	1	2	0	1	8	3	4	1	6	4	2	1	2	4	2
yajG	23	18	14	23	20	22	15	17	17	15	10	14	18	20	16	41
bolA	41	14	17	23	16	10	15	14	20	15	22	18	18	17	20	23
tig	35	15	14	24	15	17	24	15	23	27	17	18	14	12	31	41
clpP	23	14	13	17	19	12	14	7	11	16	15	15	15	10	15	28
clpX	10	7	9	4	9	6	10	6	7	16	8	7	4	3	11	7
lon	18	10	9	17	10	12	6	11	11	5	13	9	15	12	10	18
hupB	21	5	14	14	6	7	10	15	13	19	20	8	15	7	16	17
ppiD	4	11	8	10	12	10	12	10	9	13	11	19	8	11	20	22
ybaV	21	8	8	5	11	8	7	9	6	11	4	9	4	8	11	19
fadM	7	7	6	7	7	3	2	5	4	5	3	6	9	2	7	12
queC	3	2	4	6	4	2	4	3	1	5	5	4	6	4	2	8
ybaE	7	5	4	12	3	3	3	5	6	0	5	9	12	6	8	10
cof	10	9	5	12	8	5	3	4	6	0	3	5	12	6	3	7
ybaO	23	4	6	10	7	9	7	5	8	7	7	10	5	7	12	24
mdlA	2	3	3	3	5	1	1	0	2	1	2	1	1	3	0	0
glnK	12	11	5	12	14	6	9	16	5	11	6	10	8	17	12	25
amtB	5	4	2	0	5	0	1	2	2	2	2	0	0	2	1	0
tesB	15	15	12	14	21	11	9	14	6	16	9	12	14	13	13	22
ybaY	22	12	14	14	13	9	9	12	13	16	11	15	14	6	21	15
ybaZ	4	4	5	5	7	7	7	3	4	11	2	2	2	2	6	4
ffs	4	2	3	5	6	2	7	5	2	11	7	4	2	4	7	4
ybaA	12	8	3	5	8	7	7	9	3	7	4	7	4	9	8	8
ylaB	10	11	8	14	15	14	3	14	5	8	5	7	13	13	9	13
ylaC	12	7	5	6	6	8	5	7	4	4	6	9	8	7	8	12
maa	10	11	7	14	10	6	8	12	9	7	6	9	14	12	10	25
hha	3	2	3	3	2	1	0	0	1	0	1	2	4	0	0	2
tomB	58	20	33	47	25	23	19	25	24	19	18	32	50	30	23	53
acrB	3	2	3	0	1	1	1	1	2	1	1	1	2	0	0	2
acrA	10	13	5	17	11	3	7	2	10	4	5	8	13	3	10	19
acrR	19	8	2	17	10	5	7	5	3	4	3	13	13	10	11	10
mscK	3	5	4	8	8	5	6	11	7	3	6	9	2	17	9	23
ybaM	2	0	2	2	1	0	0	0	3	0	1	0	0	0	1	0
priC	2	3	6	7	6	0	0	4	3	3	2	5	6	5	5	11
ybaN	11	5	4	7	5	2	0	6	5	3	0	3	6	3	6	2
apt	13	15	11	6	18	4	11	4	3	14	6	11	10	4	6	15
dnaX	2	7	8	5	12	13	8	9	5	13	4	8	4	9	10	10
ybaB	4	4	5	2	3	2	4	3	5	2	0	4	3	4	2	4
htpG	8	6	5	8	7	11	2	11	6	5	3	3	6	10	6	11
adk	11	5	4	15	14	11	11	9	5	11	9	9	6	18	10	31
hemH	18	12	15	13	19	16	13	17	12	15	17	6	10	22	5	24
aes	9	8	10	9	11	2	11	3	10	11	13	11	6	6	10	20
gsk	20	11	3	9	10	13	11	10	6	11	2	8	6	10	11	9
ybaL	29	10	8	20	20	15	7	12	8	13	8	8	11	16	14	37
fsr	21	14	12	19	14	9	10	15	17	6	4	13	13	19	14	16
ushA	16	13	15	19	14	4	10	12	19	6	9	14	13	17	14	21
ybaK	8	6	5	8	8	6	5	10	5	8	5	4	5	10	7	20
chiX	20	4	10	8	7	5	5	5	10	8	6	6	5	5	8	8
ybaP	13	10	6	11	14	7	6	8	6	9	4	6	7	9	8	12
ybaQ	12	6	8	11	8	4	6	6	9	9	7	10	7	6	14	13
copA	24	15	13	16	12	20	8	20	14	10	11	10	18	14	13	42
glsA	42	10	20	16	13	11	8	13	14	10	20	15	18	14	12	24
ybaT	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
cueR	13	7	4	7	7	3	9	9	5	10	6	9	6	7	12	9
qmcA	13	6	9	10	9	4	4	9	6	5	10	7	10	10	6	26
fetA	26	7	9	10	6	10	4	9	10	5	4	6	10	6	9	13
ybbN	8	3	6	3	4	5	5	2	6	6	0	2	2	3	2	2
rhsD	57	14	15	59	16	6	4	19	27	9	14	27	45	16	44	57
ybbC	1	0	4	3	1	1	0	2	2	2	4	2	5	1	2	8
rhsH	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
ylbI	51	16	24	38	18	14	11	17	29	8	9	24	31	22	26	30
ylbG	8	7	8	8	4	4	5	6	12	2	6	9	7	7	10	11
mnmH	8	2	4	3	3	1	6	4	2	8	2	4	3	3	4	10
allS	38	16	13	19	19	10	6	9	13	5	11	9	16	12	9	23
allA	23	9	9	19	9	11	6	13	12	5	10	16	16	13	19	38
allR	6	5	4	5	4	2	4	5	3	4	3	7	7	3	6	8
gcl	15	1	5	6	3	3	4	3	6	4	6	5	4	5	6	12
hyi	2	0	1	2	0	0	0	0	2	0	2	0	2	0	0	0
glxR	14	3	8	6	4	1	5	4	6	6	7	6	6	4	5	13
ybbW	31	4	11	21	9	6	6	3	10	8	4	5	17	6	6	20
allB	8	3	3	6	3	3	1	1	4	0	1	4	5	2	4	10
ybbY	2	0	1	2	2	7	4	4	0	6	6	5	1	4	6	5
glxK	4	0	1	2	0	0	0	0	3	0	1	1	1	0	3	4
allE	1	0	1	1	1	0	0	0	1	0	1	1	1	1	0	0
allC	0	2	2	1	1	0	0	2	3	0	1	0	1	1	1	5
allD	43	18	16	34	25	10	9	10	15	11	10	17	27	15	19	36
fdrA	36	17	10	34	19	10	9	16	15	11	10	18	27	15	25	43
ylbE	0	0	0	0	0	2	0	0	0	0	3	1	0	1	0	1
ylbF	1	1	0	0	1	0	2	0	1	2	1	0	0	0	0	0
purE	8	8	7	2	8	10	6	11	5	10	1	6	3	8	8	15
lpxH	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
ppiB	14	11	6	20	12	12	12	3	13	9	7	10	13	6	14	10
cysS	10	10	3	20	14	7	12	6	6	9	12	11	13	13	12	14
ybcI	2	5	4	7	8	14	7	8	5	8	3	3	3	11	5	13
folD	55	25	24	48	27	25	23	34	29	20	9	13	40	39	16	42
sfmA	42	13	34	48	16	9	23	24	39	20	25	25	40	29	27	55
sfmC	29	10	7	24	14	6	8	7	8	7	8	17	19	12	17	25
sfmD	3	1	2	5	3	1	1	2	3	1	0	0	2	3	1	1
sfmH	5	0	3	7	2	0	0	1	3	1	1	0	5	2	1	3
sfmF	0	1	1	0	0	0	1	0	2	0	2	1	1	0	0	0
sfmZ	25	16	6	18	12	12	18	15	15	15	7	15	13	14	20	20
argU	20	15	15	18	20	7	18	6	14	15	12	16	13	15	12	25
xisD	1	1	0	3	2	1	2	1	1	1	0	0	2	2	0	0
insE1	11	12	13	7	14	5	9	9	9	12	12	9	9	8	8	6
emrE	9	4	7	3	5	1	0	4	6	1	2	6	3	4	6	5
ybcK	34	9	9	31	9	6	5	12	8	8	5	15	31	10	17	44
ybcL	57	20	24	52	22	4	11	17	26	16	24	34	47	14	41	54
ybcM	0	0	2	0	0	0	0	0	2	0	1	2	0	0	1	0
ylcH	12	8	5	8	6	3	7	6	9	5	9	5	5	6	7	14
quuD	6	3	5	6	3	0	1	5	5	2	3	9	5	4	11	16
nmpC	85	33	30	53	36	15	16	19	30	16	12	16	49	22	17	50
insH1	54	29	22	39	26	19	21	38	31	23	24	29	33	33	40	38
essD	41	19	21	45	17	15	18	32	20	15	19	38	47	33	34	85
rzoD	18	11	14	19	18	7	18	11	15	23	5	10	11	13	16	6
borD	26	21	8	29	24	15	16	10	11	11	16	17	22	19	15	29
ybcV	31	20	12	25	25	13	12	16	13	15	8	12	20	18	16	28
ybcW	28	12	16	25	16	8	12	12	18	15	13	20	20	13	25	31
ylcI	60	35	17	30	35	19	25	14	23	16	17	13	24	24	10	25
nohD	25	13	14	30	10	17	25	17	24	16	19	35	24	23	35	60
ybcY	14	6	4	18	12	8	4	9	4	11	5	4	13	8	10	15
tfaX	15	4	9	18	10	5	4	4	8	11	8	6	13	4	12	14
appY	76	14	20	62	19	4	5	14	22	13	9	38	55	11	49	88
ompT	73	31	21	42	37	17	10	22	18	19	6	14	39	19	20	34
pauD	34	14	22	42	20	6	10	21	19	19	17	31	39	18	37	73
envY	16	5	15	14	9	7	11	14	16	11	10	7	9	18	8	11
nfrB	27	11	6	12	12	9	5	6	0	7	3	10	17	5	6	12
cusR	15	6	6	15	10	10	7	10	10	12	8	3	6	9	12	16
cusC	16	3	10	15	12	8	7	6	9	12	10	6	6	10	10	15
cusF	8	9	9	10	11	7	7	16	7	10	4	9	11	14	10	14
cusB	1	0	2	1	1	2	0	0	1	0	1	1	1	0	1	2
cusA	2	1	0	1	1	1	0	0	1	0	2	0	1	0	0	0
pheP	15	8	6	4	7	7	4	3	6	5	9	7	4	2	8	5
ybdG	3	2	5	8	6	8	4	12	4	8	5	5	5	12	8	11
nfsB	7	5	3	7	6	2	5	9	3	7	3	3	5	8	5	14
ybdF	3	4	1	4	1	3	8	6	2	5	2	3	5	6	1	9
ybdJ	7	5	2	6	4	4	1	3	4	2	3	3	5	1	5	9
ybdK	42	26	21	19	36	29	12	27	16	18	4	12	14	31	13	29
sokE	29	12	27	19	13	4	12	21	31	18	29	26	14	16	36	42
hokE	4	1	2	5	2	2	1	2	2	2	4	2	3	3	3	4
insL1	5	3	3	6	1	5	6	3	3	5	6	7	8	1	7	6
entD	12	5	9	16	13	7	14	6	8	16	7	13	9	12	14	12
fepA	23	12	8	26	18	9	15	5	13	19	11	13	15	7	22	25
fes	25	13	5	26	22	11	15	8	7	19	9	12	15	13	18	23
ybdZ	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
fepE	20	8	11	27	10	11	3	7	13	4	10	10	22	9	13	36
fepD	13	5	3	18	9	4	3	5	4	5	2	2	13	7	5	11
entS	11	2	5	18	5	2	3	3	7	5	4	5	13	4	9	13
fepB	33	15	14	30	21	26	16	26	17	24	27	19	20	24	30	31
entC	31	19	26	30	30	27	16	14	24	24	26	15	20	17	21	33
entE	0	0	2	0	0	0	1	0	2	1	2	0	0	0	0	0
entB	1	2	3	0	1	0	1	0	3	0	1	0	0	0	0	0
entH	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
cstA	22	16	9	16	12	3	7	6	14	3	7	13	14	6	14	17
ybdD	5	7	15	7	11	16	12	9	11	15	24	11	6	10	11	11
ybdH	14	11	6	8	8	1	4	4	7	4	3	7	10	2	8	10
ybdL	10	7	4	8	8	3	4	6	2	4	1	11	10	7	8	14
ybdN	13	15	9	12	12	2	4	14	7	5	0	5	17	10	5	15
ybdO	42	7	10	24	10	8	3	12	10	9	6	9	20	9	15	13
dsbG	36	28	15	24	23	26	13	28	20	18	13	18	25	17	28	38
ahpC	38	18	28	24	28	13	13	15	17	18	26	28	25	20	23	36
ahpF	11	11	12	14	16	23	19	17	11	25	14	9	9	17	14	21
uspG	29	11	22	18	20	5	5	4	18	5	19	13	13	13	8	16
ybdR	16	13	4	18	8	19	5	22	13	5	5	11	13	18	20	29
rnk	21	15	12	19	19	9	12	11	16	12	8	12	12	15	16	19
rna	7	6	6	11	9	10	6	3	4	7	4	7	10	5	6	11
citT	7	2	2	6	1	2	2	1	4	1	2	1	5	1	2	10
citX	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0
citF	3	0	0	1	2	0	0	0	0	1	1	0	0	1	0	0
citD	5	1	1	0	1	0	0	0	2	0	1	1	0	0	1	0
citC	67	20	12	45	24	16	12	16	19	9	8	14	34	23	18	40
citA	40	14	16	45	18	8	12	12	23	9	16	20	34	19	24	67
dcuC	60	19	20	63	38	13	15	20	21	27	12	14	42	27	27	81
pagP	63	15	21	63	26	4	14	21	26	26	14	26	48	20	42	70
cspE	27	15	9	12	13	2	4	8	5	4	4	13	18	6	9	24
flc	8	7	4	8	10	4	6	4	4	5	2	4	6	8	3	8
ybeM	8	4	4	8	3	2	6	4	8	5	4	7	6	4	10	8
tatE	5	4	4	9	3	3	10	8	5	9	5	12	9	8	12	21
lipA	26	16	8	18	20	6	12	9	9	13	4	8	12	12	10	24
ybeF	23	11	8	31	17	14	7	13	9	12	6	12	24	15	18	37
lipB	1	6	1	4	3	14	7	14	3	4	5	5	5	13	4	10
ybeD	14	7	5	7	4	8	6	7	4	6	4	6	10	5	5	10
dacA	11	6	10	10	11	4	7	5	6	8	6	13	9	9	10	12
rlpA	0	0	1	0	1	0	1	0	1	2	1	1	0	0	1	0
mrdB	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
mrdA	4	1	5	0	1	0	2	1	3	3	3	1	2	0	1	2
rlmH	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0
rsfS	17	17	12	17	17	17	17	12	19	16	19	8	10	13	14	33
cobC	0	2	1	1	1	1	2	1	1	1	3	2	2	1	2	1
lptE	1	0	2	0	0	0	2	0	2	3	3	0	0	0	0	0
leuS	22	16	5	17	11	11	16	17	11	15	11	13	16	13	18	21
ybeL	21	13	17	17	18	11	16	5	13	15	11	16	16	11	11	22
ybeQ	25	8	4	26	9	3	7	6	7	9	4	2	22	5	7	18
ybeR	18	2	6	26	7	4	7	4	5	9	3	8	22	7	9	25
ybeT	17	7	4	10	5	2	2	6	6	3	0	3	10	4	6	15
ybeU	15	3	6	10	6	0	2	4	4	3	2	7	10	6	5	17
hscC	5	5	2	8	7	2	3	6	3	2	3	5	6	8	5	12
rihA	7	9	4	6	13	9	10	8	2	12	3	5	5	10	5	8
gltJ	11	12	10	8	9	12	11	12	10	10	13	8	11	10	7	14
gltI	39	21	16	17	21	9	12	12	20	13	15	6	12	11	11	13
insH1	36	21	17	30	32	18	13	17	12	22	13	12	24	20	16	25
lnt	4	4	1	2	0	1	1	2	3	0	1	0	3	0	1	0
ybeX	4	9	3	5	5	8	8	2	8	6	4	4	4	1	7	10
ybeZ	6	2	6	10	6	12	8	12	5	12	11	8	7	12	11	23
miaB	10	9	9	11	14	7	5	11	3	13	7	5	12	8	7	13
ubiF	13	5	11	11	7	7	5	9	8	13	7	9	12	3	14	10
glnX	2	3	3	2	3	3	1	2	1	2	0	3	3	1	2	5
glnV	9	1	0	7	3	1	2	1	2	1	1	3	2	4	4	5
metU	4	1	1	1	1	0	1	1	2	0	0	0	0	2	0	0
glnW	1	1	2	1	1	3	4	2	1	2	2	3	2	4	0	4
glnU	2	2	2	0	2	1	2	0	2	1	1	2	1	1	1	2
leuW	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	6
metT	50	21	19	30	27	20	18	16	22	22	17	20	21	18	26	31
asnB	44	29	13	33	40	22	23	18	12	32	13	11	22	20	19	44
umpH	1	0	2	4	1	1	1	3	0	3	3	6	5	3	6	7
nagC	2	0	2	0	0	0	0	0	2	0	0	1	0	0	0	0
nagA	4	0	2	4	3	5	1	5	1	4	7	2	3	5	4	8
nagB	32	15	12	29	17	17	15	21	14	16	7	20	26	21	23	46
nagE	46	20	21	29	23	7	15	12	21	16	17	15	26	14	17	32
glnS	14	9	8	18	13	12	12	13	10	13	3	9	12	16	13	26
chiP	60	21	19	41	32	17	29	31	16	38	11	20	32	34	26	72
chiQ	1	2	2	1	2	4	5	2	3	7	3	3	0	0	6	7
uof	18	9	6	18	11	9	8	10	4	13	8	20	19	7	23	25
fldA	5	5	7	10	12	11	3	10	4	9	3	9	5	12	12	21
ybfE	7	4	5	9	7	12	16	7	7	16	8	8	4	10	10	8
ybfF	26	10	12	12	13	13	8	10	9	14	7	9	12	7	12	9
seqA	9	9	10	12	12	7	8	12	7	14	13	10	12	9	13	26
pgm	5	3	3	0	4	0	1	0	2	2	1	1	0	0	1	1
ybfP	27	15	11	16	17	9	14	8	12	16	11	7	13	8	10	18
ybfG	22	6	8	15	12	3	2	2	4	4	4	6	12	6	5	11
ybfI	13	1	3	6	2	3	4	2	3	5	3	5	5	3	6	10
speF	17	5	6	11	4	4	5	9	11	5	5	1	8	8	6	16
ybfK	16	1	9	11	6	5	5	6	8	5	4	5	8	11	4	17
kdpC	0	1	0	0	0	1	0	0	0	0	1	1	1	0	0	2
kdpB	1	1	2	3	1	0	0	1	4	1	0	1	1	0	4	1
kdpF	25	20	9	27	17	23	8	20	11	12	9	13	27	13	19	58
ybfA	58	13	20	27	19	9	8	9	13	12	23	20	27	11	17	25
rhsC	26	11	15	28	15	7	8	11	17	9	9	9	22	14	13	27
rhsO	2	0	1	6	0	0	0	2	0	1	0	2	6	1	2	6
ybfQ	32	13	9	25	13	3	4	14	11	5	5	10	23	13	13	31
ybfL	19	9	5	16	7	3	3	9	6	4	2	5	18	6	6	21
ybfD	15	6	4	15	5	4	1	10	6	4	1	3	15	6	8	26
ybgA	13	12	10	6	12	5	5	14	5	8	9	8	11	11	6	11
dtpD	27	18	13	27	23	11	18	11	11	18	2	13	24	15	11	27
ybgI	27	13	11	27	11	2	18	13	15	18	11	18	24	11	23	27
ybgJ	4	0	2	3	1	0	2	0	4	0	2	0	1	2	0	0
nei	9	1	2	5	1	4	1	0	4	0	1	0	3	1	1	1
abrB	12	3	8	12	6	13	4	11	11	10	7	2	6	8	12	25
ybgP	4	0	3	0	0	0	0	0	3	0	1	0	1	0	0	1
ybgQ	3	2	1	9	5	3	3	1	1	4	4	2	6	4	2	8
ybgD	63	22	13	51	24	20	7	20	11	12	7	12	51	17	15	43
gltA	53	27	34	42	39	22	18	18	23	21	24	31	42	27	23	55
sdhC	51	33	25	38	29	32	21	25	29	19	18	37	37	24	39	42
sdhB	2	1	2	0	1	0	1	0	3	1	2	0	0	0	1	0
sucA	31	20	25	14	24	19	24	13	16	29	14	16	18	12	13	11
sucB	2	2	1	2	2	0	0	0	1	0	1	0	2	0	0	0
sucC	19	21	15	19	14	15	24	13	23	19	17	13	18	12	16	15
mngR	11	3	2	19	4	0	2	2	7	1	4	6	14	4	10	18
mngA	18	6	2	19	10	4	2	2	4	1	0	3	14	7	4	11
mngB	6	3	1	0	1	0	2	0	2	0	1	0	0	0	0	0
cydA	62	23	17	50	31	11	16	24	23	19	21	29	35	29	39	70
cydB	1	1	2	0	2	0	1	0	2	0	1	2	0	2	0	0
cydX	4	0	2	0	0	0	0	1	1	1	1	1	2	0	0	0
ybgC	18	5	6	11	8	12	8	11	2	12	5	5	12	10	5	18
tolR	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0
tolA	6	4	6	1	3	3	4	3	7	4	4	3	1	2	4	8
tolB	5	6	6	10	8	4	8	4	6	5	13	13	8	9	11	15
pal	8	0	2	6	1	0	0	0	3	0	1	1	5	1	2	3
ybgF	1	0	1	1	0	0	0	0	2	1	0	0	0	0	1	1
lysT	21	9	9	14	14	5	12	4	10	10	3	12	8	11	11	10
valT	11	9	14	7	8	7	11	3	10	8	7	13	11	6	6	3
lysW	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
valZ	8	9	14	7	10	7	13	2	10	10	9	16	10	7	8	8
lysY	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0
lysZ	16	9	11	8	11	12	11	4	9	10	6	9	8	7	5	9
lysQ	12	8	12	8	8	9	10	3	12	8	8	8	7	5	7	6
nadA	47	25	27	27	26	21	32	24	25	37	15	19	27	20	23	36
pnuC	6	2	2	2	0	0	4	1	2	2	5	2	4	0	1	3
zitB	15	2	10	10	5	5	2	7	8	4	5	6	9	8	6	10
ybgS	34	19	12	28	19	15	10	25	17	12	9	16	23	23	22	30
aroG	30	16	25	28	22	9	10	12	23	12	15	19	23	17	19	34
gpmA	16	12	8	23	18	6	9	10	8	13	5	9	17	12	13	21
galK	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
galT	1	2	0	0	0	1	1	0	2	0	1	0	0	0	0	0
galE	25	13	8	23	18	14	16	16	8	19	10	11	18	18	13	29
modF	8	4	2	6	5	2	3	2	3	3	2	7	5	3	7	4
modE	8	8	9	6	11	7	6	8	6	8	4	9	6	9	7	15
acrZ	15	9	8	6	7	4	6	9	9	8	7	8	6	6	11	8
modA	11	8	6	11	8	11	7	14	4	8	8	8	14	13	7	27
modC	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
ybhA	18	8	6	12	6	5	9	10	9	11	5	8	11	7	12	16
pgl	16	8	10	12	12	5	9	6	7	11	5	8	11	9	6	18
ybhD	27	8	7	20	13	8	6	8	4	10	6	5	18	9	6	27
ybhH	27	5	8	20	6	6	6	7	9	10	8	8	18	4	13	27
ybhI	13	4	7	7	6	0	1	2	7	0	4	4	5	5	3	6
ybhJ	4	8	7	16	13	7	10	18	5	14	5	10	12	19	13	20
ybhC	16	7	8	10	12	8	5	11	3	9	6	6	10	12	5	22
ybhB	6	3	6	0	3	1	3	4	5	3	6	4	1	4	3	5
bioA	10	4	2	4	3	2	3	5	2	1	5	9	5	6	6	18
bioB	18	9	5	4	6	5	3	2	6	1	2	4	5	2	3	10
uvrB	50	27	29	41	30	20	24	24	31	30	31	24	35	22	32	49
ybhK	22	17	28	35	26	18	19	20	21	25	21	26	33	23	24	37
moaA	37	26	20	35	24	21	19	28	23	25	18	17	33	21	26	22
moaB	4	1	4	1	2	0	1	0	3	0	1	1	0	2	0	0
moaC	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
ybhL	3	6	8	12	11	7	10	7	5	11	4	7	10	12	5	17
ybhM	24	10	7	21	9	7	7	9	9	6	9	11	21	9	12	32
ybhP	14	12	9	7	6	6	6	12	13	4	4	3	9	8	4	14
ybhQ	14	3	12	7	4	4	6	9	8	4	6	12	9	13	6	14
ybhR	1	0	3	0	0	0	0	0	3	1	1	0	0	0	0	0
ybiH	24	15	13	17	13	14	10	12	17	10	11	13	14	10	18	16
rhlE	16	13	12	17	18	11	10	13	10	10	14	15	14	17	13	24
ybiA	15	6	4	9	8	4	4	5	4	6	9	7	8	5	8	16
dinG	16	7	5	9	8	9	4	4	5	6	4	6	8	4	8	15
ybiB	2	0	4	1	1	0	1	0	3	0	2	5	2	2	3	0
ybiC	14	11	5	12	15	14	6	6	5	9	4	3	8	8	6	13
ybiJ	32	18	11	26	20	4	15	13	13	11	6	16	22	18	14	24
ybiI	3	5	4	5	2	4	3	6	6	3	5	5	6	3	7	5
ybiX	2	1	3	2	3	3	1	1	3	3	5	2	0	1	4	6
fiu	37	12	11	26	24	8	11	13	11	14	8	13	15	21	16	23
mcbA	25	11	10	33	25	10	12	12	6	19	10	13	22	19	16	31
rlmF	31	13	12	33	16	10	12	10	19	19	10	11	22	6	25	25
ybiO	19	15	13	19	20	21	11	23	11	19	12	5	16	21	11	23
glnP	11	13	6	8	10	13	6	8	7	7	15	4	10	4	6	9
glnH	34	18	21	37	36	20	16	17	18	25	16	23	21	26	29	45
dps	25	16	14	38	20	8	9	18	15	13	8	10	32	18	15	38
rhtA	41	20	15	36	30	17	10	18	14	10	14	16	26	28	16	40
ompX	40	16	18	36	16	14	10	15	28	10	17	20	26	14	30	41
opgE	11	15	9	13	17	18	23	21	10	26	15	15	10	19	19	29
mntS	15	7	12	20	14	5	8	9	7	12	7	13	18	12	12	13
mntR	13	13	9	20	12	7	8	12	12	12	5	7	18	7	14	15
ldtB	29	12	11	19	16	11	7	19	12	15	6	6	13	16	15	10
ybiT	10	6	19	19	15	6	7	11	16	15	11	12	13	12	16	29
ybiU	13	8	5	15	11	7	5	10	6	5	5	8	11	12	9	20
ybiV	6	8	3	13	14	7	11	9	3	9	7	7	7	17	5	18
ybiW	1	1	0	0	1	1	0	0	0	0	0	0	0	0	0	0
ybiY	18	11	6	10	9	2	4	11	10	3	3	5	7	10	8	12
fsaA	12	5	11	10	8	3	4	6	10	3	2	11	7	10	9	18
moeA	14	6	13	21	13	8	8	7	11	12	12	11	15	11	13	27
iaaA	27	11	7	21	13	12	8	13	11	12	8	6	15	11	13	14
gsiB	3	0	2	2	2	0	1	0	2	1	2	0	1	1	0	1
gsiC	1	1	2	0	2	0	1	0	2	2	3	1	0	0	1	0
gsiD	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
yliE	20	7	12	13	11	4	5	6	7	11	9	12	14	5	13	27
yliF	0	1	0	0	0	0	1	0	0	0	0	1	1	0	0	2
rimO	20	8	9	19	11	18	7	18	12	12	2	5	12	16	13	29
bssR	29	5	18	19	13	2	7	9	16	12	18	8	12	12	11	20
yliI	13	4	8	5	4	8	4	8	6	4	6	7	6	8	5	13
gstB	31	11	12	15	13	13	10	14	7	14	9	20	17	12	19	28
dacC	28	20	14	15	19	9	10	12	12	14	13	11	17	7	13	31
deoR	6	1	5	4	2	0	2	6	3	4	3	3	5	5	3	4
ybjG	27	19	16	18	16	16	17	18	12	21	7	11	25	11	10	39
mdfA	39	11	18	18	10	7	17	16	11	21	16	19	25	12	16	27
ybjH	10	5	3	7	8	6	7	3	4	11	5	0	3	2	5	5
ybjJ	5	5	0	6	5	4	1	11	2	2	0	7	4	10	9	11
rcdA	11	7	11	6	9	0	1	0	10	2	4	5	4	2	5	5
rybB	10	4	5	4	6	5	2	4	4	6	2	3	2	3	6	12
ybjL	26	15	13	24	16	13	13	18	9	16	4	16	27	17	15	26
ybjM	26	16	18	24	15	4	13	13	17	16	13	15	27	9	16	26
grxA	16	9	13	12	12	4	3	11	7	9	3	8	15	8	8	20
ybjC	20	8	11	12	8	3	3	13	8	9	4	9	15	7	12	16
rimK	1	5	5	3	4	3	5	2	6	4	5	4	2	2	5	3
ybjN	7	3	3	6	5	2	5	5	3	7	3	6	4	5	8	14
potF	33	14	19	25	17	9	17	26	16	25	8	18	25	21	23	53
potG	2	6	6	6	12	9	9	1	4	13	7	3	2	4	5	4
potH	2	0	2	0	1	0	0	0	1	1	1	0	0	0	0	0
ybjO	5	4	1	5	5	3	4	3	1	7	2	2	3	2	5	6
rlmC	3	0	1	5	1	3	2	1	3	1	1	6	2	3	7	0
artJ	17	15	12	29	23	15	18	9	14	20	19	15	19	16	19	29
artQ	0	0	0	0	0	1	0	1	0	0	0	0	0	1	1	1
artI	2	2	0	2	2	0	1	0	2	0	2	0	1	1	0	1
artP	18	10	8	21	12	16	12	12	10	14	3	11	18	11	15	25
ybjP	10	3	8	17	6	2	7	9	11	7	2	2	11	12	4	13
ybjQ	13	2	9	17	4	2	7	8	12	7	2	3	11	11	6	10
